date, 2.12.0-RC2, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-M5, 2.12.0-M4-9901daf, 2.12.0-M4, 2.12.0-M3-dc9effe, 2.12.0-M3, 2.12.0-M2, 2.12.0-M1, 2.11.8, 2.11.7, 2.11.6, 2.11.5, 2.11.4, 2.11.3, 2.11.2, 2.11.1, 2.11.0, 2.11.0-RC4, 2.11.0-RC3, 2.11.0-RC1, 2.11.0-M8, 2.11.0-M7, 2.11.0-M6, 2.11.0-M5, 2.11.0-M4, 2.11.0-M3, 2.11.0-M2, 2.11.0-M1, 2.11.2, 2.11.1, 2.11.0, 2.11.0-RC4, 2.11.0-RC3, 2.11.0-RC1, 2.11.0-M8, 2.11.0-M7, 2.11.0-M6, 2.11.0-M5, 2.11.0-M4, 2.11.0-M3, 2.11.0-M2, 2.11.0-M1, 2.10.6, 2.10.5, 2.10.4, 2.10.4-RC3, 2.10.4-RC2, 2.10.4-RC1, 2.10.3, 2.10.3-RC3, 2.10.3-RC2, 2.10.3-RC1, 2.10.2, 2.10.2-RC2, 2.10.2-RC1, 2.10.1, 2.10.1-RC3, 2.10.1-RC2, 2.10.1-RC1, 2.10.0, 2.10.0-RC5, 2.10.0-RC4, 2.10.0-RC3, 2.10.0-RC2, 2.10.0-RC1, 2.10.0-M7, 2.10.0-M6, 2.10.4, 2.10.4-RC3, 2.10.4-RC2, 2.10.4-RC1, 2.10.3, 2.10.3-RC3, 2.10.3-RC2, 2.10.3-RC1, 2.10.2, 2.10.2-RC2, 2.10.2-RC1, 2.10.1, 2.10.1-RC3, 2.10.1-RC2, 2.10.1-RC1, 2.10.0, 2.10.0-RC5, 2.10.0-RC4, 2.10.0-RC3, 2.10.0-RC2, 2.10.0-RC1, 2.10.0-M7, 2.10.0-M6, 2.10.0-M5, 2.10.0-M4, 2.10.0-M3, 2.10.0-M2, 2.10.0-M1
2013/10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 14, 56, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 14, 56, 2, 4, 0, 37, 8, 0, 0, 0, 29, 1, 11, 7, 590, 13, 4, 924, 1, 7, 13, 2249, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 29, 1, 11, 7, 590, 13, 4, 924, 1, 7, 13, 2249, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
2013/11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 11, 14, 56, 2, 4, 0, 0, 0, 0, 0, 0, 0, 3, 5, 11, 14, 56, 2, 4, 0, 37, 8, 0, 0, 0, 56, 1, 11, 7, 638, 13, 4, 934, 1, 7, 13, 2291, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 56, 1, 11, 7, 638, 13, 4, 934, 1, 7, 13, 2291, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
2013/12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 11, 14, 56, 2, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7, 11, 14, 56, 2, 4, 0, 37, 8, 0, 0, 0, 110, 1, 11, 7, 668, 13, 4, 950, 1, 7, 13, 2319, 159, 6, 117, 99, 83, 93, 61, 8, 0, 0, 0, 110, 1, 11, 7, 668, 13, 4, 950, 1, 7, 13, 2319, 159, 6, 117, 99, 83, 93, 61, 28, 20, 14, 11, 19
2014/1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 7, 12, 15, 60, 2, 4, 0, 0, 0, 0, 0, 0, 0, 50, 7, 12, 15, 60, 2, 4, 0, 37, 8, 0, 1, 5, 309, 1, 11, 7, 810, 13, 4, 1077, 1, 7, 13, 2486, 159, 6, 117, 99, 83, 93, 62, 8, 0, 1, 5, 309, 1, 11, 7, 810, 13, 4, 1077, 1, 7, 13, 2486, 159, 6, 117, 99, 83, 93, 62, 28, 20, 14, 11, 19
2014/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65, 8, 13, 15, 61, 2, 4, 0, 0, 0, 0, 0, 0, 12, 65, 8, 13, 15, 61, 2, 4, 0, 37, 8, 2, 1, 5, 588, 1, 11, 7, 940, 13, 4, 1176, 1, 8, 13, 2595, 159, 6, 117, 99, 83, 93, 62, 8, 2, 1, 5, 588, 1, 11, 7, 940, 13, 4, 1176, 1, 8, 13, 2595, 159, 6, 117, 99, 83, 93, 62, 28, 20, 14, 11, 19
2014/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 5, 51, 34, 86, 10, 14, 17, 84, 2, 4, 0, 0, 0, 0, 5, 51, 34, 86, 10, 14, 17, 84, 2, 4, 0, 37, 24, 3, 1, 12, 1329, 1, 11, 7, 1209, 13, 4, 1290, 1, 9, 13, 3219, 159, 6, 117, 100, 83, 93, 62, 24, 3, 1, 12, 1329, 1, 11, 7, 1209, 13, 4, 1290, 1, 9, 13, 3219, 159, 6, 117, 100, 83, 93, 62, 28, 20, 14, 11, 19
2014/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 67, 28, 30, 66, 42, 93, 12, 15, 19, 89, 2, 4, 0, 0, 67, 28, 30, 66, 42, 93, 12, 15, 19, 89, 2, 4, 0, 37, 114, 3, 2, 14, 1739, 1, 11, 7, 1329, 13, 4, 1337, 1, 9, 13, 3360, 160, 6, 117, 101, 83, 93, 62, 114, 3, 2, 14, 1739, 1, 11, 7, 1329, 13, 4, 1337, 1, 9, 13, 3360, 160, 6, 117, 101, 83, 93, 62, 28, 20, 14, 11, 19
2014/5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 22, 262, 44, 41, 75, 46, 93, 13, 15, 19, 89, 2, 4, 0, 22, 262, 44, 41, 75, 46, 93, 13, 15, 19, 89, 2, 4, 0, 37, 412, 3, 3, 14, 2020, 1, 11, 7, 1419, 13, 4, 1347, 1, 10, 13, 3519, 160, 6, 117, 101, 83, 93, 62, 412, 3, 3, 14, 2020, 1, 11, 7, 1419, 13, 4, 1347, 1, 10, 13, 3519, 160, 6, 117, 101, 83, 93, 62, 28, 20, 14, 11, 19
2014/6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 177, 462, 48, 49, 77, 47, 94, 13, 15, 19, 91, 2, 4, 0, 177, 462, 48, 49, 77, 47, 94, 13, 15, 19, 91, 2, 4, 0, 37, 783, 3, 3, 14, 2399, 1, 11, 7, 1491, 13, 4, 1362, 1, 10, 13, 3652, 161, 6, 117, 101, 83, 93, 62, 783, 3, 3, 14, 2399, 1, 11, 7, 1491, 13, 4, 1362, 1, 10, 13, 3652, 161, 6, 117, 101, 83, 93, 62, 28, 20, 14, 11, 19
2014/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 22, 731, 663, 66, 60, 86, 54, 104, 13, 15, 19, 93, 2, 4, 22, 731, 663, 66, 60, 86, 54, 104, 13, 15, 19, 93, 2, 4, 0, 37, 1720, 3, 3, 14, 2867, 1, 11, 7, 1553, 13, 4, 1385, 1, 11, 13, 3743, 161, 6, 118, 101, 83, 93, 62, 1720, 3, 3, 14, 2867, 1, 11, 7, 1553, 13, 4, 1385, 1, 11, 13, 3743, 161, 6, 118, 101, 83, 93, 62, 28, 20, 14, 11, 19
